"Temp","Energy","Mean_pdb"
"100.0","449073.9557592404","0.0"
"99.0","186103.45923237872","0.0"
"98.0","154284.09312737867","0.0"
"97.0","139744.70968600898","0.0"
"96.0","121087.68771125082","0.0"
"95.0","110421.23261691423","0.0"
"94.0","108152.5903864419","0.0"
"93.0","107330.35181743234","0.0"
"92.0","106088.80682780681","0.0"
"91.0","97196.99266716499","0.0"
"90.0","92851.08908128848","0.0"
"89.0","86109.37614908798","0.0"
"88.0","84374.07620045477","0.0"
"87.0","84271.78189914845","0.0"
"86.0","84271.78189914845","0.0"
"85.0","83171.77805593061","0.0"
"84.0","82859.3822314467","0.0"
"83.0","82859.3822314467","0.0"
"82.0","72547.22363124795","0.0"
"81.0","69821.03342333094","0.0"
"80.0","66391.88892421653","0.0"
"79.0","65403.29803524698","0.0"
"78.0","65403.29803524698","0.0"
"77.0","65403.29803524698","0.0"
"76.0","65403.29803524698","0.0"
"75.0","65398.01405624126","0.0"
"74.0","64765.78628694247","0.0"
"73.0","64612.4655525045","0.0"
"72.0","63878.08460161277","0.0"
"71.0","62799.541588523614","0.0"
"70.0","62799.541588523614","0.0"
"69.0","62799.541588523614","0.0"
"68.0","62799.541588523614","0.0"
"67.0","62799.541588523614","0.0"
"66.0","62799.541588523614","0.0"
"65.0","62799.541588523614","0.0"
"64.0","62799.541588523614","0.0"
"63.0","62114.3207506624","0.0"
"62.0","60112.01792543405","0.0"
"61.0","59879.5568556587","0.0"
"60.0","54499.02693667197","0.0"
"59.0","53617.85659737024","0.0"
"58.0","53661.8452900775","0.0"
"57.0","53297.04837989075","0.0"
"56.0","53297.04837989075","0.0"
"55.0","53304.04596033301","0.0"
"54.0","53304.04596033301","0.0"
"53.0","53304.04596033301","0.0"
"52.0","53304.04596033301","0.0"
"51.0","53304.04596033301","0.0"
"50.0","53304.04596033301","0.0"
"49.0","52366.95928315228","0.0"
"48.0","51459.77312808212","0.0"
"47.0","45844.63579271206","0.0"
"46.0","45844.63579271206","0.0"
"45.0","45844.63579271206","0.0"
"44.0","45844.63579271206","0.0"
"43.0","45844.63579271206","0.0"
"42.0","45844.63579271206","0.0"
"41.0","41767.2092535589","0.0"
"40.0","41767.2092535589","0.0"
"39.0","39857.75492953463","0.0"
"38.0","39829.433505367335","0.0"
"37.0","39829.433505367335","0.0"
"36.0","37209.4144494933","0.0"
"35.0","37209.4144494933","0.0"
"34.0","37209.4144494933","0.0"
"33.0","37209.4144494933","0.0"
"32.0","37209.4144494933","0.0"
"31.0","37209.4144494933","0.0"
"30.0","37209.4144494933","0.0"
"29.0","37209.4144494933","0.0"
"28.0","37209.4144494933","0.0"
"27.0","34179.486886540486","0.0"
"26.0","34179.486886540486","0.0"
"25.0","34184.858387429704","0.0"
"24.0","34184.858387429704","0.0"
"23.0","32415.252335404908","0.0"
"22.0","32415.252335404908","0.0"
"21.0","32415.252335404908","0.0"
"20.0","32415.252335404908","0.0"
"19.0","32385.9092341955","0.0"
"18.0","32265.244719773353","0.0"
"17.0","32199.221893153448","0.0"
"16.0","31894.900929010888","0.0"
"15.0","31568.124008203748","0.0"
"14.0","30134.271244405412","0.0"
"13.0","30039.179161414126","0.0"
"12.0","28701.731316078127","0.0"
"11.0","28637.656775815285","0.0"
"10.0","27360.810875755255","0.0"
"9.0","27026.15542225935","0.0"
"8.0","26441.738991412432","0.0"
"7.0","26321.330504638194","0.0"
"6.0","26321.330504638194","0.0"
"5.0","25098.103056199438","0.0"
"4.0","25098.103056199438","0.0"
"3.0","25098.103056199438","0.0"
"2.0","25098.103056199438","0.0"
"1.0","25098.103056199438","0.0"
